,deviceId,timestamp,action,importanceLevel,itemName,itemType,packageName,user,session
1147,9d2768c1-9d45-4047-a827-fea8a064eed4,2024-12-19 17:37:06,added,low,스토리,keyword,,u4,1
1151,9d2768c1-9d45-4047-a827-fea8a064eed4,2024-12-19 18:48:20,added,medium,광고,keyword,,u4,2
1419,5359a173-8c73-4785-b89c-136b47f9f374,2024-12-23 16:59:29,added,low,(광고),keyword,,u17,2
1420,b774baa7-99f8-4bea-a55d-0168eee3d9f4,2024-12-24 15:21:19,added,low,(광고),keyword,,u23,2
1421,15ba6f80-01ec-4943-96be-89238ea7e045,2024-12-19 14:01:02,added,low,Azure,keyword,,u2,2
1422,83dc8619-af39-4f15-b438-969f072ce778,2024-12-22 23:44:55,added,low,Check Out,keyword,,u6,2
1423,15ba6f80-01ec-4943-96be-89238ea7e045,2024-12-19 14:00:52,added,low,ChromeMobile,keyword,,u2,2
1424,83dc8619-af39-4f15-b438-969f072ce778,2024-12-25 13:46:26,added,low,for a while,keyword,,u6,2
1425,15ba6f80-01ec-4943-96be-89238ea7e045,2024-12-21 15:53:18,added,low,Gemini,keyword,,u2,2
1426,c27da57a-0352-475b-8774-f3adf794acb7,2024-12-20 13:06:35,added,low,medium,keyword,,u5,2
1427,83dc8619-af39-4f15-b438-969f072ce778,2024-12-25 22:13:02,added,low,New video in their story,keyword,,u6,2
1428,15ba6f80-01ec-4943-96be-89238ea7e045,2024-12-26 15:16:02,added,low,PyImageSearch,keyword,,u2,2
1429,83dc8619-af39-4f15-b438-969f072ce778,2024-12-26 00:25:56,added,low,recently posted,keyword,,u6,2
1430,2ad7bd88-d263-4a66-820c-8367cb5be1b4,2024-12-25 11:49:49,added,low,start,keyword,,u12,2
1431,aebe62b6-7a75-4eed-8aaa-9ae018d6f25f,2024-12-24 10:29:09,added,low,Web발신,keyword,,u20,2
1432,24f2dec0-5cd2-4d6b-b7c1-5cb7f200d72d,2024-12-26 16:03:33,added,high,결제,keyword,,u14,2
1433,aebe62b6-7a75-4eed-8aaa-9ae018d6f25f,2024-12-24 10:29:07,added,low,경희대학교,keyword,,u20,2
1434,3c897afb-e889-4271-9757-b023746ea0cb,2024-12-24 13:11:32,added,low,광고,keyword,,u1,2
1435,e43cc655-0333-43c1-ba29-5af45222ce3e,2024-12-21 14:11:05,added,low,광고,keyword,,u10,2
1436,62260fa5-6747-48e5-b4ed-7108dbb8d926,2024-12-23 15:17:16,added,low,광고,keyword,,u11,2
1437,2ad7bd88-d263-4a66-820c-8367cb5be1b4,2024-12-22 11:26:52,added,low,광고,keyword,,u12,2
1438,2ba5adff-c892-433d-813e-983b1193d86f,2024-12-21 16:03:23,added,low,광고,keyword,,u13,2
1439,24f2dec0-5cd2-4d6b-b7c1-5cb7f200d72d,2024-12-26 16:05:12,added,low,광고,keyword,,u14,2
1440,20feed4d-f0d6-45a7-926d-dd38de5c57de,2024-12-23 13:43:49,added,low,광고,keyword,,u15,2
1441,445dc990-fa87-4adb-9561-61668fdfbeec,2024-12-24 11:31:19,added,low,광고,keyword,,u18,2
1442,aebe62b6-7a75-4eed-8aaa-9ae018d6f25f,2024-12-24 10:29:11,added,low,광고,keyword,,u20,2
1443,b1963a79-a2d2-4af0-849f-5f9e660942a8,2024-12-26 14:14:48,added,low,광고,keyword,,u21,2
1444,6473938c-137e-4928-bca9-5b41b57a2219,2024-12-26 14:38:03,added,low,광고,keyword,,u22,2
1445,b4d318e3-4117-4c3e-a71d-42dcd205339b,2024-12-26 12:13:42,added,low,광고,keyword,,u24,2
1446,cb5c77bc-1205-4037-8bf0-f0ef3b2248d8,2024-12-27 19:05:24,added,low,광고,keyword,,u25,2
1447,99bf2c2b-9022-4326-9c5a-856a6c43d942,2024-12-24 17:54:12,added,low,광고,keyword,,u26,2
1448,ac3c8549-da14-4c25-a22d-602f56c597ee,2024-12-19 17:20:21,added,low,광고,keyword,,u3,2
